Uuid,Void/Retire,Name,Description,Duration,Start Time,End Time,Max Load,Speciality,Location,Label Colour
69ed267f-9e5d-4a2e-93ff-47b555781797,false,Consultation Externe,,30,,,,a1111111-1111-1111-1111-111111111111,ba583e51-0eb2-4f78-b116-4d82822f910c,#4caf50
33904042-96a5-4d00-a558-ea0006126f2e,false,CPN,,30,,,,a1111111-1111-1111-1111-111111111111,ba583e51-0eb2-4f78-b116-4d82822f910c,#2196f3
894c0534-a604-40e7-8a26-e3c66e6728e1,false,Vaccination,,30,,,,a1111111-1111-1111-1111-111111111111,ba583e51-0eb2-4f78-b116-4d82822f910c,#ff9800
fe4f06d1-920f-4c86-b226-37a079f99400,false,Planification Familiale,,30,,,,a1111111-1111-1111-1111-111111111111,ba583e51-0eb2-4f78-b116-4d82822f910c,#9c27b0
