Uuid,Void/Retire,Concept UUID,Frequency Per Day,_version:1
freq0001-0000-0000-0000-000000000001,false,160862AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1,
freq0002-0000-0000-0000-000000000002,false,160858AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,2,
freq0003-0000-0000-0000-000000000003,false,160866AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,3,
freq0004-0000-0000-0000-000000000004,false,160870AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,4,
freq0005-0000-0000-0000-000000000005,false,162249AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,4,
freq0006-0000-0000-0000-000000000006,false,162251AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,2,
freq0007-0000-0000-0000-000000000007,false,162135AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1,
